node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
4300,79,99.98,28.85,28.85,71.15,3,0.03,ROUNDING_DOWN
1909,54,99.95,24.61,24.61,75.39,3,0.01,ROUNDING_DOWN
537,30,3.72,14.66,30.26,33.79,1,0.03,ROUNDING_DOWN
1102,43,99.91,10.09,10.09,89.91,1,0.01,ROUNDING_DOWN
383,26,99.74,38.34,38.34,61.66,3,0.0,ROUNDING_DOWN
2897,66,5.59,62.63,75.04,20.83,3,0.74,ROUNDING_DOWN
1140,42,99.91,15.28,15.28,84.72,2,0.01,ROUNDING_DOWN
1077,41,99.91,11.49,11.49,88.51,1,0.01,ROUNDING_DOWN
570,31,99.82,28.97,28.97,71.03,3,0.0,ROUNDING_DOWN
492,29,25.2,67.81,70.0,29.06,3,0.09,ROUNDING_DOWN
4523,81,99.98,15.78,15.78,84.22,2,0.03,ROUNDING_DOWN
1753,52,1.08,6.4,37.71,10.57,1,0.08,ROUNDING_DOWN
200,21,99.5,15.21,15.21,84.79,2,0.0,ROUNDING_DOWN
5690,90,99.98,13.92,13.92,86.08,3,0.04,ROUNDING_DOWN
676,34,99.85,28.09,28.09,71.91,2,0.0,ROUNDING_DOWN
2794,64,1.22,19.25,38.43,30.84,1,0.2,ROUNDING_DOWN
271,23,99.63,30.21,30.21,69.79,2,0.0,ROUNDING_DOWN
491,30,25.25,66.95,68.39,30.94,3,0.09,ROUNDING_DOWN
1925,55,99.95,14.01,14.01,85.99,2,0.01,ROUNDING_DOWN
4246,78,2.28,44.0,69.28,19.52,2,0.71,ROUNDING_DOWN
26,10,0.0,0.0,0.0,33.2,1,0.0,ROUNDING_DOWN
2646,63,99.96,16.64,16.64,83.36,2,0.02,ROUNDING_DOWN
1329,45,1.81,18.61,44.2,23.49,1,0.07,ROUNDING_DOWN
6568,96,2.82,49.24,60.32,32.39,2,1.96,ROUNDING_DOWN
2304,59,99.96,23.9,23.9,76.1,3,0.02,ROUNDING_DOWN
391,27,12.53,44.84,53.17,39.49,2,0.04,ROUNDING_DOWN
955,40,1.36,16.15,42.81,21.58,1,0.04,ROUNDING_DOWN
359,26,6.69,29.98,54.54,24.99,2,0.04,ROUNDING_DOWN
723,35,99.86,43.14,43.14,56.86,3,0.0,ROUNDING_DOWN
